Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30780283,White Tears,Hari Kunzru,"Kunzru, Hari",,"=""0451493699""","=""9780451493699""",0,Knopf,Hardcover,271,2017,2017,,2026/04/15,to-read,to-read (#359),to-read,,,,0,0
196845471,Blue Ruin,Hari Kunzru,"Kunzru, Hari",,"=""0593801377""","=""9780593801376""",0,Knopf,Hardcover,272,2024,2024,,2024/12/21,currently-reading,currently-reading (#3),currently-reading,,,,1,0
214986234,The Expert of Subtle Revisions,Kirsten Menger-Anderson,"Menger-Anderson, Kirsten",,"=""0593798309""","=""9780593798300""",3,Crown,Hardcover,256,2025,2025,2026/04/13,2025/12/01,,,read,"i like the vibes. reminds me of Piranesi even though it's totally different. i don't mind the lack of explanation of the ""rules"" of the world since there're so many texts that get lost in the sauce (tenet, edge of tomorrow). once the plot really gets going in the last third, i think it goes a little too quickly and the characters get lost. everyone is kind of aloof and i wish there was more to connect to because the ending does not hit hard at all. the story makes sense and stuff but it's surprisingly boring for its concept.",,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,"=""0143131842""","=""9780143131847""",4,Penguin Publishing Group,Paperback,260,2018,1818,2026/02/12,2025/12/25,,,read,i think it's very good. although if i was forced to read it in high school or something i would've hated it. i also think unfortunately that this could radicalize a certain subset of young males who misinterpret the text.,,,1,0
17571466,The Troop,Nick Cutter,"Cutter, Nick",,"=""1476717710""","=""9781476717715""",0,Gallery Books,Hardcover,358,2014,2014,,2026/04/09,to-read,to-read (#358),to-read,,,,0,0
236115798,Spoiled Milk,Avery Curran,"Curran, Avery",,"=""0385551592""","=""9780385551595""",0,Doubleday,Hardcover,322,2026,2026,,2026/03/28,to-read,to-read (#357),to-read,,,,0,0
205978602,The Ways of Paradise,Peter Cornell,"Cornell, Peter",Saskia Vogel,"=""1804271063""","=""9781804271063""",0,Fitzcarraldo Editions,Paperback,152,2025,1999,2026/03/13,2025/12/01,,,read,,,,1,0
59973,Daredevil: The Man Without Fear,Frank Miller,"Miller, Frank",,"=""0785100466""","=""9780785100461""",0,Marvel Comics,Paperback,160,2003,1993,,2025/12/08,did-not-finish,did-not-finish (#19),did-not-finish,,,,1,0
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""159420571X""","=""9781594205712""",0,Penguin Press,Hardcover,297,2014,2014,,2024/05/13,did-not-finish,did-not-finish (#12),did-not-finish,,,,1,0
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",0,Del Rey,ebook,466,2015,2015,,2025/06/17,did-not-finish,did-not-finish (#16),did-not-finish,"I've decided I want to enjoy the things I read, and not suffer through them. The more I think about the first book, the more I have issues with people's claim that it's an ""adult"" series. The aspects that supposedly make the series more dark and mature, like sexual violence, wartime brutality, and slavery, actually reveal its lack of maturity.<br/><br/>Rape is presented for shock value, then quickly turned into a strategic tool when Darrow uses it to gain Tactus’ loyalty. Yes I was shocked when it was revealed that Tactus was raping women. And I was more shocked when Darrow became friends with the rapist (after punishing him, of course). A protagonist who weaponizes trauma for his goals isn’t someone I feel compelled to root for. The sexual assaults are just used as plot devices with no follow-up other than saying ""people do bad things in wartime"". There was also a weird thing in the first book where Darrow sees a Pink being mistreated and frees her from sexual captivity, which also feels hollow. It's really just there to make us root for Darrow.<br/><br/>The series sets up a vast world that could be very interesting and nuanced, yet the implementation is so underbaked. The structure of the caste system could be a great opportunity to interrogate the society and the characters within, yet nobody ever meaningfully critiques it. Golds, who are the oppressors, never question their privilege, and they are never prompted to question it by others, either. All the central characters are Golds, so why should we care? The system remains unchallenged, and Darrow himself seems unconcerned at times.<br/><br/>The pieces are all there, but it's just not working. It's like if Remy only ate the strawberry and the cheese separately, and never tried them together.",,,1,0
